month,opening,white_bucket,black_bucket,games,white_pct,black_pct,draw_pct
2013-01,Queen's Pawn Game: Chigorin Variation,1500,1400,80,62.500,31.250,6.250
2013-01,Queen's Pawn Game #2,1500,1500,80,52.500,43.750,3.750
2013-01,Owen Defense,1800,1600,79,82.278,15.190,2.532
2013-01,Bishop's Opening,1400,1500,79,41.772,50.633,7.595
2013-01,Caro-Kann Defense,1600,1600,79,45.570,49.367,5.063
2013-01,King's Pawn Game: Wayward Queen Attack,1300,1300,79,50.633,49.367,0.000
2013-01,Owen Defense,1400,1600,79,24.051,70.886,5.063
2013-01,King's Pawn Game: Wayward Queen Attack,1500,1500,78,41.026,57.692,1.282
2013-01,Horwitz Defense,1500,1400,77,75.325,18.182,6.494
2013-01,Philidor Defense #2,1400,1400,77,49.351,45.455,5.195
2013-01,Philidor Defense #3,1400,1500,77,46.753,49.351,3.896
2013-01,Queen's Pawn Game,1700,1700,76,48.684,46.053,5.263
2013-01,Hungarian Opening,1700,1600,75,56.000,42.667,1.333
2013-01,Van't Kruijs Opening,1700,1700,75,45.333,53.333,1.333
2013-01,King's Pawn Game: Wayward Queen Attack,1400,1400,75,52.000,46.667,1.333
2013-01,Hungarian Opening,1700,1500,75,73.333,25.333,1.333
2013-01,English Defense #2,1600,1600,75,42.667,53.333,4.000
2013-01,Queen's Pawn Game,1700,1800,74,31.081,59.459,9.459
2013-01,Van't Kruijs Opening,1400,1300,73,64.384,32.877,2.740
2013-01,King's Pawn Game: Wayward Queen Attack,1300,1400,73,36.986,60.274,2.740
2013-01,Sicilian Defense: Bowdler Attack,1600,1500,73,60.274,31.507,8.219
2013-01,Horwitz Defense,1400,1400,73,63.014,34.247,2.740
2013-01,Queen's Pawn Game: Chigorin Variation,1500,1300,72,76.389,22.222,1.389
2013-01,Scandinavian Defense,1500,1400,72,55.556,41.667,2.778
2013-01,Bishop's Opening,1500,1600,72,37.500,54.167,8.333
2013-01,Modern Defense,1700,1600,71,67.606,28.169,4.225
2013-01,Van't Kruijs Opening,1500,1300,71,47.887,50.704,1.408
2013-01,French Defense: Knight Variation,1500,1600,71,38.028,60.563,1.408
2013-01,French Defense: Knight Variation,1600,1500,71,46.479,50.704,2.817
2013-01,Sicilian Defense: Bowdler Attack,1500,1700,70,32.857,64.286,2.857
2013-01,Scandinavian Defense,1500,1500,70,54.286,42.857,2.857
2013-01,Philidor Defense #3,1500,1600,70,41.429,57.143,1.429
2013-01,Bishop's Opening: Berlin Defense,1500,1500,69,53.623,42.029,4.348
2013-01,Saragossa Opening,1600,1600,69,59.420,40.580,0.000
2013-01,Horwitz Defense,1700,1700,69,50.725,47.826,1.449
2013-01,Scandinavian Defense: Mieses-Kotroc Variation,1500,1600,69,43.478,52.174,4.348
2013-01,Van't Kruijs Opening,1400,1600,68,32.353,64.706,2.941
2013-01,Hungarian Opening,1600,1700,68,26.471,64.706,8.824
2013-01,Van't Kruijs Opening,1300,1200,67,61.194,37.313,1.493
2013-01,Modern Defense,1700,1500,67,79.104,16.418,4.478
2013-01,Owen Defense,1300,1500,67,25.373,71.642,2.985
2013-01,Scandinavian Defense: Mieses-Kotroc Variation,1700,1600,67,56.716,38.806,4.478
2013-01,Scotch Game,1500,1600,67,35.821,56.716,7.463
2013-01,Queen's Pawn Game: Chigorin Variation,1600,1400,66,78.788,21.212,0.000
2013-01,Hungarian Opening,1800,1500,66,87.879,10.606,1.515
2013-01,Van't Kruijs Opening,1300,1600,66,21.212,78.788,0.000
2013-01,King's Pawn Game: Wayward Queen Attack,1400,1500,65,38.462,60.000,1.538
2013-01,Sicilian Defense: Bowdler Attack,1400,1400,65,56.923,40.000,3.077
2013-01,Caro-Kann Defense,1700,1600,65,60.000,38.462,1.538
2013-01,Horwitz Defense,1600,1400,65,72.308,27.692,0.000
2013-01,Caro-Kann Defense,1600,1700,64,37.500,54.688,7.812
2013-01,Horwitz Defense,1400,1500,64,40.625,53.125,6.250
2013-01,King's Pawn Game: Wayward Queen Attack,1600,1500,64,65.625,29.688,4.688
2013-01,Philidor Defense #3,1700,1600,64,73.438,26.562,0.000
2013-01,Philidor Defense #2,1500,1400,64,60.938,39.062,0.000
2013-01,King's Pawn Game: Leonardis Variation,1500,1500,63,46.032,50.794,3.175
2013-01,Philidor Defense #3,1400,1300,63,73.016,26.984,0.000
2013-01,Scandinavian Defense,1300,1300,63,53.968,41.270,4.762
2013-01,Modern Defense,1500,1300,63,58.730,41.270,0.000
2013-01,Queen's Pawn Game #2,1400,1300,62,67.742,29.032,3.226
2013-01,Bishop's Opening,1400,1400,62,45.161,53.226,1.613
2013-01,Scandinavian Defense: Mieses-Kotroc Variation,1600,1400,62,74.194,24.194,1.613
2013-01,Queen's Pawn Game #2,1300,1400,61,49.180,49.180,1.639
2013-01,Queen's Pawn Game: Chigorin Variation,1600,1600,61,45.902,45.902,8.197
2013-01,English Defense #2,1500,1500,61,44.262,52.459,3.279
2013-01,Caro-Kann Defense,1700,1800,61,26.230,67.213,6.557
2013-01,Scandinavian Defense: Mieses-Kotroc Variation,1800,1800,61,59.016,39.344,1.639
2013-01,Bishop's Opening: Berlin Defense,1600,1500,61,59.016,36.066,4.918
2013-01,Modern Defense,1400,1400,61,57.377,37.705,4.918
2013-01,Philidor Defense #2,1400,1500,61,37.705,59.016,3.279
2013-01,Queen's Pawn Game: Chigorin Variation,1400,1400,60,60.000,36.667,3.333
